Due Date:,Title:,HTML:,Owner:,Location:,Scope:,Relevant,Checked,Completed
2/6/2018,['Whispering Trails Gravity Sewer System'],http://www.floridabids.net/bid_opportunities/2017/12/15/8276777-Whispering_Trails_Gravity_Sewer_System.html,['Loxahatchee River District'],"['United States, FL']"," Work includes, installation of approx. 11,000 LF of 8"" sanitary sewer, manholes, service laterals/clean-outs, approx. 1,550 LF of 4"" force main and one (1) submersible lift station. Construction also includes dewatering, roadway reconstruction/ resur... ",,X,
2/6/2018,['Indian Springs Phase I Sewer & Water System Extensions'],http://www.floridabids.net/bid_opportunities/2018/01/09/8333672-Indian_Springs_Phase_I_Sewer___Water_System_Extensions.html,['Jackson County BOC - Purchasing'],"['United States, FL']"," The project consists of approx. 31,053 LF of PVC/HDPE low pressure sewer force main ranging from 2"" to 6"", 33,804 LF of associated 1 ½"" HDPE services, 72 valves, 13 air/vac valves and roadway/driveway directional bores. There are estimated to be 125... ",,X,
2/6/2018,['DeSoto County Small County Outreach Program (SCRAP)N.W. Windy Pine Ave. & N.W. Magnolia Terrace Road Improvements'],http://www.floridabids.net/bid_opportunities/2018/01/11/8342096-DeSoto_County_Small_County_Outreach_Program__SCRAP_N.W._Windy_Pine_Ave.___N.W._Magnolia_Terrace_Road_Improvements.html,['DeSoto County Purchasing'],"['United States, FL']"," Works include overlay of the existing roadways including cross drain replacement, minor shoulder work, driveway aprons, striping and sod restoration. ",,X,
2/6/2018,['Cattle Grazing On Pasture 3 of the Babcock Webb Wildlife Management Area (WMA)'],http://www.floridabids.net/bid_opportunities/2018/01/09/8338586-Cattle_Grazing_On_Pasture_3_of_the_Babcock_Webb_Wildlife_Management_Area__WMA_.html,['Florida Fish and Wildlife Conservation Commission'],"['United States, FL']", Cattle grazing on pasture 3 of the babcock webb wildlife management area. Contract term 5 years. ,,X,
2/6/2018,['Tennis Court Improvements - Knoxville Community School District'],http://www.iowabids.com/bid_opportunities/2018/01/10/8341637-Tennis_Court_Improvements___Knoxville_Community_School_District.html,['Knoxville Comm. Sch. Dist.'],"['United States, IA']"," Works include eight tennis courts and a basketball court; also includes demolition, utilities, grading, HMA paving, fencing, court surfaces, PCC basketball court and sidewalks, electrical and surface restoration; See outside link. ",,X,
2/6/2018,['Intelligent Transportation System (ITS) Device Preservation'],http://www.illinoisbids.com/bid_opportunities/2018/01/10/8340148-Intelligent_Transportation_System__ITS__Device_Preservation.html,['Illinois Tollway'],"['United States, IL']"," Preventative maintenance of existing closed circuit television (cctv) assemblies, preventative maintenance of existing vehicle detection system (vds) assemblies, testing of vehicle detection system (vds) assemblies, preventative maintenance of existi... ",,X,
2/6/2018,['Construction Management at Risk Services'],http://www.massbids.net/bid_opportunities/2018/01/19/8360446-Construction_Management_at_Risk_Services.html,['Massachusetts Division of Capital Asset Management and Maintenance'],"['United States, MA']"," Renovation of approximately 208,000 GSF, eight-story plus basement building containing laboratory, administrative and research space. Building will remain occupied throughout construction and remain 24/7/365 operational. Project also includes demolit... ",,X,
2/6/2018,['Indefinite Quantity/delivery Services'],http://www.massbids.net/bid_opportunities/2018/01/18/8358468-Indefinite_Quantity_delivery_Services.html,['Fall River Housing Authority'],"['United States, MA']"," Architectural/engineering firms registered in Massachusetts with relevant experience in the investigation, preparation of bid documents and construction administration for various improvements at eighteen (18) federally-assisted developments accordin... ",,X,
2/6/2018,['RFP - 2018 Maine Lobster Research Collaborative'],http://www.mainebids.com/bid_opportunities/2017/12/29/8265607-RFP___2018_Maine_Lobster_Research_Collaborative.html,"['Maine Dept. of Marine Resources (DMR), Division of Purchases']","['United States, ME']"," Produce integrated research programs that contribute to the components outlined below, including biological, physical, and social dynamics of the lobster fishery, as well as inspire direction for future collaborations. Proposals should include a synt... ",,X,
2/6/2018,['Parks-Swede Hollow Stormwater Improvement'],http://www.minnesotabids.com/bid_opportunities/2018/01/13/8341926-Parks_Swede_Hollow_Stormwater_Improvement.html,"['Saint Paul City, Contract and Analysis Services']","['United States, MN']"," Installation of storm sewer, site grading and haul offsite and site restoration. Work includes 1,410 LF silt fence, 132 CY common excavation, 200 LF 6"" HDPE draintile, 2,900 SY hydraulic matrix. See attached file.  ",,X,
2/6/2018,['Rockfish Road Sidewalk'],http://www.northcarolinabids.com/bid_opportunities/2018/01/04/8325392-Rockfish_Road_Sidewalk.html,"['Hope Mills, Town of']","['United States, NC']"," Works include approx 1,150 SY concrete sidewalk; 2,252 LF concrete curb and gutter; 563 LF storm pipe; 1,250 SF modular retaining wall; asphalt paving; associated grading and restoration of surfaces; and traffic control; See outside link. ",,X,
2/6/2018,['Site Grading (York Greenwood Substation)'],http://www.nebraskabids.com/bid_opportunities/2018/01/26/8377928-Site_Grading__York_Greenwood_Substation_.html,['Nebraska Public Power District'],"['United States, NE']", Remove three (3) blue spruce and tree root system located in the general area of the driveways. Remove vegetation and strip top 6â€ of soil from site. (Estimated cut volume is 692 CY). Supply and install 12â€ culverts. Construct driveways. (Base fo... ,,X,
2/6/2018,['LUC-Chessie Circle Connector'],http://www.ohiobids.com/bid_opportunities/2018/01/17/8356169-LUC_Chessie_Circle_Connector.html,"['Toledo Dept. of Public Utilities, Div of Engineering']","['United States, OH']"," Construct a 12-foot wide path. The work includes earthwork, sidewalk removal and replacement, asphalt bike path, plaza with stone seat wall and site amenities, tree removal and replacement, and site restoration. ",,X,
2/6/2018,['2018 Lloyd Noble Scholars'],http://www.oklahomabids.com/bid_opportunities/2017/11/30/8242446-2018_Lloyd_Noble_Scholars.html,['Noble Research Institute'],"['United States, OK']", 2018 Lloyd Noble Scholars in Agriculture program. The program offers scholars the opportunity to work alongside agricultural professionals at one of the nation's foremost agricultural consultation and research organizations in any of the following ar... ,,X,
2/6/2018,['Surplus Trucks'],http://www.southdakotabids.com/bid_opportunities/2018/01/10/8339349-Surplus_Trucks.html,['Ziebach County'],"['United States, SD']", Sale of 2010 Volvo Truck VNL (S/N 4V4NC9TG2AN283181)1997 Freightliner Truck FLD112 (S/N 1FUY3WEB6VH861207). ,,X,
2/6/2018,['Surplus Trucks'],http://www.southdakotabids.com/bid_opportunities/2018/01/10/8339349-Surplus_Trucks.html,['Ziebach County'],"['United States, SD']", Sale of 2010 Volvo Truck VNL (S/N 4V4NC9TG2AN283181)1997 Freightliner Truck FLD112 (S/N 1FUY3WEB6VH861207). ,,X,
2/6/2018,['Rehabilitate Trigg Lake Dam'],http://www.texasbids.net/bid_opportunities/2017/12/27/8306545-Rehabilitate_Trigg_Lake_Dam.html,"['Dallas/Fort Worth International Airport, Procurement and Materials Management']","['United States, TX']"," Work includes approx 1,120 CY of excavation; 900 SY flexible base; 35 LF of reinforced concrete pipe; 2,450 LF of temporary sediment; 12 EA bollards; 1,290 CY 2"" w/filter fabric riprap; 169 LF of 54"" RCP restoration; 1 LS dewatering; 4,360 SY surface... ",,X,
2/7/2018,['EHL Organic Contaminate Testing'],http://www.bidsalaska.com/bid_opportunities/2018/01/16/8353618-EHL_Organic_Contaminate_Testing.html,"['Alaska Dept. of Environmental Conservation, Division of Spill Prevention and Response']","['United States, AK']"," Specialized chemical testing for environmental contaminants in Alaskan wild fish, shellfish, sea life, and other environmental samples.  ",,X,
2/7/2018,['RFP - Constituent Relationship Management (CRM) Solution'],http://www.arizonabids.net/bid_opportunities/2018/01/08/8335112-RFP___Constituent_Relationship_Management__CRM__Solution.html,"['Coconino Community College, Purchasing']","['United States, AZ']"," Manages all aspects of the recruiting of potential students, requirements for applications and application status management, objects, fields, workflows and triggers to support higher education prospect and applicant management, ability to easily tra... ",,X,
2/7/2018,['Industrial Hygiene Services'],http://www.californiabids.com/bid_opportunities/2018/01/17/8354466-Industrial_Hygiene_Services.html,"['Anaheim, City of - Purchasing Dept.']","['United States, CA']"," Conduct on-call industrial hygiene services. This will involve conducting surveys and inspections, including air monitoring and the collection of samples to identify physical, chemical, and biological hazards in work areas. The term one-year base per... ",,X,
2/7/2018,['A&E On-Call Roadway Design and Related Project Development and Construction Services. D-6'],http://www.californiabids.com/bid_opportunities/2018/01/10/8340209-A_E_On_Call_Roadway_Design_and_Related_Project_Development_and_Construction_Services._D_6.html,"['California Dept. of Transportation, Procurement & Contracts (CalTrans)']","['United States, CA']"," Roadway design and related project development and construction services, including, but not limited to, field sampling, analysis, reports, on an  as-needed  basis to support the department of transportation (caltrans), division of project developmen... ",,X,
2/7/2018,['Special District Consultant'],http://www.californiabids.com/bid_opportunities/2018/01/20/8363596-Special_District_Consultant.html,"['Chula Vista, City of']","['United States, CA']", Provide special district consulting services (community facilities district administration; assessment district administration and apportionments; open space district administration; delinquency management/monitoring; and related services) for one (1... ,,X,
2/7/2018,['Flood Construction Services for Hall Ranch II Access Road'],http://www.coloradobids.net/bid_opportunities/2018/01/22/8367528-Flood_Construction_Services_for_Hall_Ranch_II_Access_Road.html,['Boulder County Administrative Services'],"['United States, CO']", Work includes remove and stockpiling topsoil; relocate stream corridor to designed alignment and vertical profile. Dewatering temporary excavations in channel and off channel. Channel and floodplain excavation. Hauling excess unwanted material to pre... ,,X,
2/7/2018,['Rehabilitation of Bridges I-84/route 8 Mixmaster Interchange Waterbury'],http://www.connecticutbids.com/bid_opportunities/2017/12/15/8280175-Rehabilitation_of_Bridges_I_84_route_8_Mixmaster_Interchange_Waterbury.html,['Connecticut Dept. of Transportation'],"['United States, CT']"," Work includes approx 1 LS of asbestos abatement; 1 LS of lead compliance for abrasive blast cleaning and miscellaneous tasks; 1 LS of environmental health and safety; 3,985 CY of controlled materials handling; 1 LS of securing, construction and disma... ",,X,
2/7/2018,"['Biology of Lung, and Head and Neck Preneoplasias (R21)']",http://www.dcbids.net/bid_opportunities/2017/08/16/7982981-Biology_of_Lung__and_Head_and_Neck_Preneoplasias__R21_.html,['National Park Service'],"['United States, DC']"," Biology of lung, and head and neck preneoplasias (R21). ",,X,
2/7/2018,['Cattle Grazing On the Yucca Pens Unit of the Babcock Webb WMA'],http://www.floridabids.net/bid_opportunities/2018/01/09/8338824-Cattle_Grazing_On_the_Yucca_Pens_Unit_of_the_Babcock_Webb_WMA.html,['Florida Fish and Wildlife Conservation Commission'],"['United States, FL']", Cattle grazing on the yucca pens unit of the babcock webb wildlife management area. Contract term: 5 years. ,,X,
2/7/2018,['Forestry Tree Truck With Aerial Lift'],http://www.illinoisbids.com/bid_opportunities/2018/01/11/8344293-Forestry_Tree_Truck_With_Aerial_Lift.html,"['Cook County, Purchasing']","['United States, IL']"," Furnish a new 2018 or newer Ford 750 SD forestry tree truck with Altec LR7-56 aerial lift. This contract is for one (1) year, with two (2), one (1) year renewal options.  ",,X,
2/7/2018,['2018 Spring Brush Removal'],http://www.illinoisbids.com/bid_opportunities/2018/01/20/8364349-2018_Spring_Brush_Removal.html,"['Galesburg, City of']","['United States, IL']", Removal of wood waste for the Forestry Division. ,,X,
2/7/2018,['R -39717-A - Environmental Mitigation'],http://www.indianabids.com/bid_opportunities/2018/01/20/8363187-R__39717_A___Environmental_Mitigation.html,['Indiana Department of Transportation'],"['United States, IN']", Environmental mitigation: excavation; seed mixture; herbicide treatment.  ,,X,
2/7/2018,['Permitting System and Database'],http://www.kansasbids.com/bid_opportunities/2018/01/09/8282419-Permitting_System_and_Database.html,['Kansas Department of Administration - Procurement and Contracts'],"['United States, KS']", Provide utility permitting system and aweb-based project task tracking system. ,,X,
2/7/2018,['2018 Water Meter Replacement'],http://www.massbids.net/bid_opportunities/2018/01/19/8360153-2018_Water_Meter_Replacement.html,['Dracut Water Supply District'],"['United States, MA']"," Work includes furnishing and installing approx. 4,000 water meters, electronic encoder registers and Itron 100W radio modules ranging in size from 5/8"" through 3"". Installing shall include removing the existing meters and associated appurtenances and... ",,X,
2/7/2018,['City of Rice Lake Lift Station 6 and 7 Elimination'],http://www.minnesotabids.com/bid_opportunities/2018/01/09/8337073-City_of_Rice_Lake_Lift_Station_6_and_7_Elimination.html,"['Rice Lake, City of']","['United States, MN']"," Work includes abandonment of lift stations and sanitary manholes, installation of lower pressure sewer, pre-packaged grinder pump stations, road restoration, yard restoration, erosion control, and traffic control. See outside link. ",,X,
2/7/2018,"['11766857 - Vegetation Management At Stationary Objects, Guardrail, Along Primary Divided Routes']",http://www.northcarolinabids.com/bid_opportunities/2018/01/12/8345292-11766857___Vegetation_Management_At_Stationary_Objects__Guardrail__Along_Primary_Divided_Routes.html,['North Carolina Dept of Transportation'],"['United States, NC']"," Vegetation management; bridge approach and sign trimming, primary divided. The date of availability for this contract is March 7, 2018; the completion date for this contract is March 6, 2019. See outside link. ",,X,
2/7/2018,['Vegetation Control'],http://www.ohiobids.com/bid_opportunities/2018/01/13/8349876-Vegetation_Control.html,['Hamilton County Purchasing Division'],"['United States, OH']", Services for vegetation control.  ,,X,
2/7/2018,['Recreation Management System Software'],http://www.oregonbids.com/bid_opportunities/2018/01/04/8327558-Recreation_Management_System_Software.html,"['Eugene, City of']","['United States, OR']"," Providing comprehensive recreation management solutions to manage programs, facilities, rentals, volunteers, memberships, point of sale, and online registration. The ideal solution will provide flexible reporting functionality, including tools for an... ",,X,
2/7/2018,['Lexington Road Sanitary Sewer Replacement Project'],http://www.pennsylvaniabids.com/bid_opportunities/2018/01/09/8335199-Lexington_Road_Sanitary_Sewer_Replacement_Project.html,"['Perkiomen, Township of']","['United States, PA']"," Work includes approx 108 LF of 8"" SDR-35 PVC sanitary sewer between existing Manholes in paved areas; 192 LF of 8"" SDR-35 PVC sanitary sewer between existing Manholes in unpaved areas; 50 LF of 8"" SDR-35 PVC sanitary sewer between existing Manholes i... ",,X,
2/7/2018,['248 Cider Mill Road Demolition Project'],http://www.pennsylvaniabids.com/bid_opportunities/2018/01/10/8339414-248_Cider_Mill_Road_Demolition_Project.html,['Lower Perkiomen Valley Regional Sewer Authority'],"['United States, PA']"," Demolition of the structures, demolition of slabs, foundation walls, pads, walkways and vegetation, as well as the work associated with site restoration and stabilization activities, including temporary erosion and sedimentation controls. The work in... ",,X,
2/7/2018,['Demolition of Blighted Structures Located At 929 & 931 Oneida Street'],http://www.pennsylvaniabids.com/bid_opportunities/2018/01/13/8348726-Demolition_of_Blighted_Structures_Located_At_929___931_Oneida_Street.html,"['Shamokin, City of']","['United States, PA']", Demolition and removal of the existing blighted residential structures and associated site restoration. ,,X,
2/7/2018,['Brokerage and Marketing Services'],http://www.southcarolinabids.com/bid_opportunities/2018/01/12/8345996-Brokerage_and_Marketing_Services.html,"['Clinton, City of']","['United States, SC']", Provide brokerage and marketing services. Thesite is a graded 6.4 acres and identified as Tax Map #901-35-01-049. ,,X,
2/7/2018,['Logistics Technology Pick To Light System'],http://www.texasbids.net/bid_opportunities/2018/01/06/8332974-Logistics_Technology_Pick_To_Light_System.html,['Texas State Technical College System'],"['United States, TX']", Pick-to-light system with server hardware and software. This pick-to-light system will be used by students as part of logistics technology training program. The pick-to-light system should provide students with experience utilizing it in a distributi... ,,X,
2/7/2018,['Construction of the Thomsen Road Culvert Improvement Project'],http://www.wisconsinbids.com/bid_opportunities/2018/01/13/8346444-Construction_of_the_Thomsen_Road_Culvert_Improvement_Project.html,"['Lyons, Town of']","['United States, WI']"," Replacement of a small bridge with culverts including installation of two 67"" x 95"" CMAP, corrugated metal headwalls, rip rap, excavation, aggregate base course, hot mix asphalt pavement, erosion controls, lawn restoration, wetland restoration, and o... ",,X,
2/8/2018,['Request for Statement of Interest and Qualifications - Design-Build Pre-Construction Phase Services for the Salt River Siphon Repair'],http://www.arizonabids.net/bid_opportunities/2018/01/05/8327986-Request_for_Statement_of_Interest_and_Qualifications___Design_Build_Pre_Construction_Phase_Services_for_the_Salt_River_Siphon_Repair.html,['Central Arizona Water Conservation District/Central Arizona Project'],"['United States, AZ']"," DESIGN-BUILD services to provide design-build services for the design, permitting and  construction for the siphon repair. The project will include the supply of all design, reports, safety plans, drawings, materials, equipment, testing, environmenta... ",,X,
2/8/2018,['Engineering Services for the Design of Structural and Mechanical Retrofits To Lafayette Reservoir Outlet Tower'],http://www.californiabids.com/bid_opportunities/2017/12/12/8272527-Engineering_Services_for_the_Design_of_Structural_and_Mechanical_Retrofits_To_Lafayette_Reservoir_Outlet_Tower.html,['East Bay Municipal Utility District (EBMUD)'],"['United States, CA']"," Provide engineering services for the evaluation of upgrade alternatives, environmental regulatory permitting, and design of structural and mechanical retrofits to the reservoir outlet tower. ",,X,
2/8/2018,['Wireless Access Points'],http://www.californiabids.com/bid_opportunities/2018/01/16/8352831-Wireless_Access_Points.html,['Oxnard Union High School District'],"['United States, CA']"," The District is looking for 1,165 Wireless Access Points district wide. Access points must contain (Qty 3) 802.11ac (or better) radios per access point and support (3x3:3) 3x3 MIMO with 3 spatial streams, 2.4 GHz and 5 GHz with a minimum of 1300 Mbps... ",,X,
2/8/2018,['Application Development Services'],http://www.californiabids.com/bid_opportunities/2017/12/12/8272782-Application_Development_Services.html,"['Alameda County General Services Agency, Purchasing Dept. GSA']","['United States, CA']"," To provide technical consultants for all aspects of application development and maintenance services in the areas of information processing architecture, analysis, programming, data management, quality assurance, web support, consulting, and project ... ",,X,
2/8/2018,['External Facilitation Services'],http://www.coloradobids.net/bid_opportunities/2017/12/29/8317516-External_Facilitation_Services.html,['Colorado Dept. of Public Health & Environment (CDPHE)'],"['United States, CO']", Seeking to prequalify individuals and organizations to provide facilitation services for the Disease Control and Environmental Epidemiology Division (DCEED). ,,X,
2/8/2018,['External Facilitation Services'],http://www.coloradobids.net/bid_opportunities/2017/12/29/8317516-External_Facilitation_Services.html,['Colorado Dept. of Public Health & Environment (CDPHE)'],"['United States, CO']", Seeking to prequalify individuals and organizations to provide facilitation services for the Disease Control and Environmental Epidemiology Division (DCEED). ,,X,
2/8/2018,['Still River Sediment Removal'],http://www.connecticutbids.com/bid_opportunities/2017/12/21/8297931-Still_River_Sediment_Removal.html,['Danbury Purchasing Dept.'],"['United States, CT']"," To remove sediment that has accumulated above the river level along the edges and related work and materials.  Work also includes tree and brush clearing, stockpile management, loading, transportation and disposal of the sediment, installation and ma... ",,X,
2/8/2018,['Beginning Farmer and Rancher Development Program'],http://www.dcbids.net/bid_opportunities/2017/11/25/8233181-Beginning_Farmer_and_Rancher_Development_Program.html,['United States Department of Agriculture National Institute of Food and Agriculture'],"['United States, DC']"," Beginning farmer education for adult and young audiences in the United States can generally be traced back to the advent of the 1862 and 1890 Morrill Land Grant Acts. But for the first time, the Food, Conservation, and Energy Act of 2008 (Pub .L. No.... ",,X,
2/8/2018,['CDBG Grant Administration Services and Project Engineering Services'],http://www.floridabids.net/bid_opportunities/2018/01/12/8346797-CDBG_Grant_Administration_Services_and_Project_Engineering_Services.html,"['LaBelle, City of']","['United States, FL']"," Grant Program Administration services shall include, but not be limited to: conducting HUD environmental review(s), coordinating with funding agencies, guidance through the entire work plans with compliance with the award agreement including special ... ",,X,
2/8/2018,"['Aerial Survey, Tates Hell and Apalachicola Wma']",http://www.floridabids.net/bid_opportunities/2018/01/13/8348379-Aerial_Survey__Tates_Hell_and_Apalachicola_Wma.html,['Florida Fish and Wildlife Conservation Commission'],"['United States, FL']", Procure the rental of helicopters along with qualified pilots to assist the agency in wildlife surveys. ,,X,
2/8/2018,['Aiea District Park - Replacement Of Ballfield Lighting System'],http://www.hawaiibids.net/bid_opportunities/2018/01/18/8357198-Aiea_District_Park___Replacement_Of_Ballfield_Lighting_System.html,['Honolulu City & County Dept. of Budget and Fiscal Services - Division of Purchasing'],"['United States, HI']"," Work includes approx 1 LS fence removal and reinstallation, excavation, backfilling, grading, trenching restoration, saw cutting, portland cement concrete, concrete structures, steel structures, reinforcing steel, electrical conduits, branch feeders,... ",,X,
2/8/2018,['West Bend 2018 Swimming Pool Renovation Improvements'],http://www.iowabids.com/bid_opportunities/2018/01/09/8337079-West_Bend_2018_Swimming_Pool_Renovation_Improvements.html,"['West Bend, City of']","['United States, IA']"," Work includes demolition and disposal as well as any necessary replacements, general site work, earthwork, restoration, reinstallation of salvaged items, sidewalk improvements, new stainless steel gutter, concrete slabs, source/drain piping, utility ... ",,X,
2/8/2018,['Reconstruct Finkbine Commuter Lot'],http://www.iowabids.com/bid_opportunities/2018/01/19/8361795-Reconstruct_Finkbine_Commuter_Lot.html,['Iowa State University - Facilities Planning & Management Office'],"['United States, IA']"," Work will include but not limited to pavement removal, storm sewer, PCC pavement with curb & gutter, PCC sidewalk, HMA seal coat, traffic control & site restoration. ",,X,
2/8/2018,['Tree and Shrub Removal From Prairie and Wetland Wildlife Management Areas'],http://www.iowabids.com/bid_opportunities/2018/01/13/8349503-Tree_and_Shrub_Removal_From_Prairie_and_Wetland_Wildlife_Management_Areas.html,['Iowa Department of Natural Resources '],"['United States, IA']"," Remove undesirable trees, shrubs, and woody vegetation from five (5) designated prairie and wetland wildlife management areas.  ",,X,
2/8/2018,['Specialized UCMR4 Testing of Drinking Water'],http://www.illinoisbids.com/bid_opportunities/2018/01/13/8347905-Specialized_UCMR4_Testing_of_Drinking_Water.html,"['Lake County, Purchasing']","['United States, IL']", Secure an Environmental Company/Laboratory that can perform specialized USEPA testing on drinking water for County Public Works. ,,X,
2/8/2018,['Masonry and Stone Repair Project'],http://www.illinoisbids.com/bid_opportunities/2017/12/23/8302799-Masonry_and_Stone_Repair_Project.html,['General Services Administration Office: Public Buildings Service (PBS)'],"['United States, IL']"," DESIGN-BILD. Provide design/build services for the masonry and stone repair project. Work includes spot repointing of the limestone and facebrick, removing the existing coatings from the terracotta cornice and repairing/replacing damaged units, perfo... ",,X,
2/8/2018,['West Park - The Groves Project'],http://www.indianabids.com/bid_opportunities/2018/01/13/8350331-West_Park___The_Groves_Project.html,['Carmel/Clay Dept. of Parks and Recreation'],"['United States, IN']"," Work for the Project consists of an all-season program pavilion building of approx 8,000 SF, low-impact site development of pedestrian walks and trails, woodland play equipment and surfacing installation, driveway and lighted parking lot, landscaping... ",,X,
2/8/2018,['Well No. 4 Replacement Pump Station'],http://www.massbids.net/bid_opportunities/2018/01/05/8325587-Well_No._4_Replacement_Pump_Station.html,"['Easton, Town of']","['United States, MA']"," Furnishing and installing a new cement masonry unit pump station building that will allow replacement Well 4R to be connected to the distribution system. The Work also includes furnishing and installing a submersible well pump, motor, and pitless ada... ",,X,
2/8/2018,['Solid Waste Resource Management Plan 2018-2022'],http://www.michiganbids.net/bid_opportunities/2018/01/12/8345179-Solid_Waste_Resource_Management_Plan_2018_2022.html,"['Ann Arbor, City of']","['United States, MI']"," Provided a broad-based set of programs for managing its citizens and customers solid waste resources, including recyclable and compostable materials, in an environmentally focused manner, which is desired by community.  ",,X,
2/8/2018,['2018 Zachary Lane Elementary School Deferred Maintenance and Roof Replacement'],http://www.minnesotabids.com/bid_opportunities/2018/01/16/8353351-2018_Zachary_Lane_Elementary_School_Deferred_Maintenance_and_Roof_Replacement.html,['Robbinsdale Area School District/Independent School District No. 281'],"['United States, MN']"," Roof system and parapet replacement, modifications to associated mechanical and electrical systems, interior finishes, loading dock and exterior stucco deferred maintenance and site restoration.  ",,X,
2/8/2018,['RFB-Parks-Tree Removal On Phalen Golf Course'],http://www.minnesotabids.com/bid_opportunities/2018/01/17/8356873-RFB_Parks_Tree_Removal_On_Phalen_Golf_Course.html,"['Saint Paul City, Contract and Analysis Services']","['United States, MN']"," Removal of emerald ash trees on the golf course. Work shall also include stump grinding, disposal and backfilling of stumps, and full restoration.The work shall also include stump grinding and full restoration. There are 300 ash trees identified for ... ",,X,
2/8/2018,['2018 Street Improvements'],http://www.minnesotabids.com/bid_opportunities/2018/01/18/8357711-2018_Street_Improvements.html,"['Stacy, City of']","['United States, MN']"," Works include approx 10,000 SY removal of bituminous pavement; 3,500 SY reclaim bituminous pavement; 4,000 CY common excavation; 6,500 TN class 5 aggregate base; 3,200 TN bituminous pavement; 600 LF concrete curb and gutter; 800 SF concrete walk; 350... ",,X,
2/8/2018,"['Fire Alarm System Replacement, Environmental Services Program Laboratory ']",http://www.missouribids.com/bid_opportunities/2018/01/16/8352532-Fire_Alarm_System_Replacement__Environmental_Services_Program_Laboratory_.html,"['State of Missouri, Office of Administration, Division of Facilities Management, Design and Construction']","['United States, MO']"," Fire alarm system replacement, Environmental Services Program Laboratory. ",,X,
2/8/2018,['Upper Maline Trunk Sanitary Relief Phase IV Section B'],http://www.missouribids.com/bid_opportunities/2017/12/19/8290491-Upper_Maline_Trunk_Sanitary_Relief_Phase_IV_Section_B.html,['Metropolitan Saint Louis Sewer District'],"['United States, MO']"," Work includes approx 1 LS bypass pumping; 1 EA connection to existing inlet manhole; 67 LF of manhole - special 60""; 358 LF of manhole - standard construction; 4,868 LF of 36"" pipe in tunnel; 1,081 LF of 42"" pipe in tunnel; 42 LF of 36"" pipe sewer (s... ",,X,
2/8/2018,['Street Rehab 2018-Lake of the Woods Subdivision'],http://www.missouribids.com/bid_opportunities/2018/01/10/8339581-Street_Rehab_2018_Lake_of_the_Woods_Subdivision.html,"['Boone County, Purchasing Dept.']","['United States, MO']"," Rehab existing concrete streets by removing and replacing section of rollback curb and gutter, removing existing pavement, remove and prepare subgrade, install geotextile, install aggregate base, and install full depth asphalt pavement. Additional wo... ",,X,
2/8/2018,['Vegetation Spray Materials'],http://www.missouribids.com/bid_opportunities/2018/01/17/8353736-Vegetation_Spray_Materials.html,['Cole County Commission'],"['United States, MO']"," Provision of vegetation spray materials such as 2,4-D LO-Vester weed killer, 2,4-D Amine weed killer, GLY-4 Herbicide, Aqua neat aquatic Herbicide, Outrider Herbicide, Interlock Penetratin  & drift control agent, Dupont Perspective, Esplanade 200SC, ... ",,X,
2/8/2018,['9-1-1 GIS Synchronization and 911 Database Management Services'],http://www.northcarolinabids.com/bid_opportunities/2018/01/17/8354870-9_1_1_GIS_Synchronization_and_911_Database_Management_Services.html,['North Carolina Office of Information Technology Services'],"['United States, NC']"," Provide statewide 9-1-1 GIS synchronization and 9-1-1 database management services for routing9-1-1 calls. The collection of GIS street files, boundaries and 9-1-1 data currently used by all 117 PSAPs. See attached file. ",,X,
2/8/2018,['RFQ - Environmental Engineering Services'],http://www.oregonbids.com/bid_opportunities/2018/01/12/8345988-RFQ___Environmental_Engineering_Services.html,['Housing Authority of Clackamas County'],"['United States, OR']"," Environmental engineering requests may be, but not limited to assessments, hazardous materials testing and developing protocols for handling discovered materials. Requested services may be, but are not limited to: Environmental site assessments meeti... ",,X,
2/8/2018,['RFQ - Professional Surveyor Services'],http://www.oregonbids.com/bid_opportunities/2018/01/12/8346100-RFQ___Professional_Surveyor_Services.html,['Housing Authority of Clackamas County'],"['United States, OR']"," To provide as-needed comprehensive surveyor services. Survey requests may be, but not limited to, topographic surveys, property line surveys, easement surveys and utility surveys. Requested services may be, but are not limited to: Subdivision and par... ",,X,
2/8/2018,['Multi-Agency Vegetation Management '],http://www.oregonbids.com/bid_opportunities/2018/01/05/8326857-Multi_Agency_Vegetation_Management_.html,['Siuslaw National Forest'],"['United States, OR']", Multi-agency vegetation management. ,,X,
2/8/2018,['Farmersville Rd./Farmersville Ct. Sanitary Sewer Extension'],http://www.pennsylvaniabids.com/bid_opportunities/2017/12/22/8298655-Farmersville_Rd._Farmersville_Ct._Sanitary_Sewer_Extension.html,['Bethlehem Township Municipal Authority'],"['United States, PA']"," Furnishing and installing approx. 1,150 LF of 8"" sanitary sewer and appurtenances including excavation, backfill, 6"" laterals to serve 11 properties and final restoration. Project includes approx 245 LF 8"" PVC Sewer, 6\'-8\'; 226 LF 8"" PVC Sewer, 12\'-1... ",,X,
